亍		chu4	/step with the right foot/see 彳亍[chi4 chu4]/
于		Yu2	/surname Yu/
于		yu2	/to go/to take/sentence-final interrogative particle/variant of 於|于[yu2]/
亐		yu2	/archaic variant of 于[Yu2]/
云		yun2	/(classical) to say/
互		hu4	/mutual/
亓		Qi2	/surname Qi/
亓		qi2	/his/her/its/their/
五		wu3	/five/5/
井		Jing3	/Jing, one of the 28 constellations of Chinese astronomy/surname Jing/
井		jing3	/a well/CL:口[kou3]/neat/orderly/
亖		si4	/old variant of 四[si4]/
亙		gen4	/extending all the way across/running all the way through/
些		xie1	/classifier indicating a small amount or small number greater than 1: some, a few, several/
亜		ya4	/Japanese variant of 亞|亚/
亝		qi2	/old variant of 齊|齐[qi2]/
亝		zhai1	/old variant of 齋|斋[zhai1]/
亞		Ya4	/Asia/Asian/Taiwan pr. [Ya3]/
亞		ya4	/second/next to/inferior/sub-/Taiwan pr. [ya3]/
亟		ji2	/urgent/
亟		qi4	/repeatedly/frequently/
亠		tou2	/"lid" radical in Chinese characters (Kangxi radical 8)/
亡		wang2	/to die/to lose/to be gone/to flee/deceased/
亢		Kang4	/surname Kang/Kang, one of the 28 constellations/
亢		kang4	/high/overbearing/excessive/
交		jiao1	/to hand over/to deliver/to pay (money)/to turn over/to make friends/to intersect (lines)/variant of 跤[jiao1]/
亥		hai4	/12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar/ancient Chinese compass point: 330°/
亦		yi4	/also/
亨		heng1	/prosperous/henry (unit of inductance)/
亪		xx5	/one of the characters used in kwukyel (phonetic "ye"), an ancient Korean writing system/
享		xiang3	/to enjoy/to benefit/to have the use of/
京		Jing1	/abbr. for Beijing/surname Jing/Jing ethnic minority/
京		jing1	/capital city of a country/big/algebraic term for a large number (old)/artificial mound (old)/
亭		ting2	/pavilion/booth/kiosk/erect/
亮		liang4	/bright/clear/resonant/to shine/to show/to reveal/
亯		xiang3	/old variant of 享[xiang3]/
亱		ye4	/variant of 夜[ye4]/
亳		Bo2	/name of district in Anhui/capital of Yin/
亶		Dan3	/surname Dan/
亶		dan3	/sincere/
亷		lian2	/old variant of 廉[lian2]/
亹		men2	/mountain pass/defile (archaic)/
亹		wei3	/resolute/
人		ren2	/man/person/people/CL:個|个[ge4],位[wei4]/
亻		ren2	/"person" radical in Chinese characters (Kangxi radical 9)/
亼		ji2	/variant of 集[ji2]/
亽		ji2	/archaic variant of 亼[ji2]/
亽		xx5	/one of the characters used in kwukyel (phonetic "ra"), an ancient Korean writing system/
亾		wang2	/old variant of 亡[wang2]/
什		shen2	/what/
什		shi2	/ten (used in fractions, writing checks etc)/assorted/miscellaneous/
仁		ren2	/humane/kernel/
仂		le4	/surplus/tithe/
仃		ding1	/alone/
仄		ze4	/to tilt/narrow/uneasy/oblique tones (in Chinese poetry)/
仆		pu1	/to fall forward/to fall prostrate/
仇		Qiu2	/surname Qiu/
仇		chou2	/hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)/
仇		qiu2	/spouse/companion/
仈		Ba1	/surname Ba/
仉		Zhang3	/surname Zhang/
今		jin1	/today/modern/present/current/this/now/
介		jie4	/to introduce/to lie between/between/shell/armor/
仌		bing1	/old variant of 冰[bing1]/
仍		reng2	/still/yet/to remain/
仏		fo2	/Japanese variant of 佛/
仒		xx5	/one of the characters used in kwukyel (phonetic "eo" or "sya"), an ancient Korean writing system/
仔		zai3	/variant of 崽[zai3]/
仔		zi1	/see 仔肩[zi1 jian1]/
仔		zi3	/meticulous/(of domestic animals or fowls) young/
